顧客ID,取引先名,取引先名（かな）,取引注意フラグ,郵便番号(請求先),都道府県(請求先),住所(請求先),ビル名（請求先）,代表電話,代表Fax,代表E-mail,請求書関連備考,請求書発行方法,請求書希望,会社名(請求書発送先),郵便番号(請求書発送先),住所(請求書発送先),ビル名(請求書発送先),TEL(請求書発送先),FAX(請求書発送先),Web サイト,業種,資本金,従業員数,工事対応エリア,関連会社,備考,※企業コード
4948,株式会社エコプロ,えこぷろ,取引可,069-0212,北海道,空知郡南幌町南12線西13番地,,011-378-7011,011-378-7012,ecopro21@gmail.com,,,,,,,,,,https://www.ecopro21.co.jp/,,500万円,10,,,,10001
4949,ノーベル技研工業株式会社,のーべるぎけんこうぎょう,取引可,003-0030,北海道,札幌市白石区流通センター1丁目9-30,,011-866-3344,011-866-2220,,,,,,,,,,,https://www.nobelgiken.com/,,"1,650万円",15,,株式会社ハタナカ昭和グループ,9割公共工事／5000万円～億単位の工事が中心,10002
4950,株式会社繁富工務店　江別テクニカルセンター,しげとみこうむてん,取引可,067-0051,北海道,江別市工栄町26番地1,,011-380-6100,011-380-6200,kouzihonbu@shigetomikoumuten.co.jp,,メール請求書,kouzihonbu@shigetomikoumuten.co.jp,,,,,,,https://www.shigetomikoumuten.co.jp/company/overview/index.php,,"5,000万円",165,,,主な業務は発電設備工事（水力、火力、原子力）、公共設備・環境関連施設・その他設備工事,10004
4951,株式会社マルヨシ工業,まるよしこうぎょう,取引可,005-0035,北海道,札幌市南区南35条西10丁目8-7,,011-581-3460,011-583-0432,,,,,,,,,,,,,500万円,23,,,,10005
4952,株式会社大成塗装工業,たいせいとそうこうぎょう,取引可,080-0104,北海道,河東郡音更町新通11丁目2-4,,0155-42-2103,0155-42-2748,,,,,,,,,,,https://taisei-tosou.jp/,,"1,000万円",30,音更町、帯広署など十勝地方中心,,,10006
4953,文化シヤッター株式会社　滝川営業所,ぶんかしゃったー,取引可,073-0004,北海道,滝川市滝の川町東4-1156-36,,0125-24-0833,,,,,,,,,,,,https://www.bunka-s.co.jp/,,"150億5,100万円",4958,,,,10007
4954,植村建設株式会社,うえむらけんせつ,取引可,079-1123,北海道,赤平市東文京町1丁目1,,0125-32-3141,,,,,,,,,,,,https://www.uemurakk.co.jp/,,"5,000万円",157,赤平市の地域密着企業,植栄興業株式会社,,10008
4955,日本ヒューム株式会社　北海道支社,にほんひゅーむ,取引可,060-0042,北海道,札幌市中央区大通西4-1,道銀ビル8F,011-688-7026,011-688-7072,,,,,,,,,,,https://www.nipponhume.co.jp/,,"52億5,140万円",508,,,,10009
4956,株式会社ニッセン工業,にっせんこうぎょう,取引可,088-0611,北海道,釧路郡釧路町豊美2丁目3-5,,0154-65-1711,03-6368-5462,,,,,,,,,,,https://www.nissensangyou.com/,,"1,000万円",,,,,10010
4957,株式会社Avanty,あばんてぃー,取引可,080-0048,北海道,帯広市西18条北1丁目9-12,,0155-36-2351,0155-36-2391,,,,,,,,,,,,,300万円,11,,,,10011
4958,株式会社北一運輸,きたいちうんゆ,取引可,080-0028,北海道,帯広市西18条南2丁目2-28,,0155-99-1042,0155-99-1042,,,,,,,,,,,,,"2,500万円",10,,,,10012
4959,有限会社横田建設,よこたけんせつ,取引可,007-0825,北海道,札幌市東区東雁来5条1丁目2-45,,011-789-3405,011-789-3406,,,,,,,,,,,,,300万円,,,,,10013
4960,有限会社谷口板金工業所　札幌営業所,たにぐちばんきんこうぎょうしょ,取引可,060-0001,北海道,札幌市中央区北1条西15丁目1番3号,大通ハイム603号,011-632-7600,011-632-7608,,,メール請求書,m-fuse@buriki.biz,,,,,,,https://buriki.biz/metal/,,"2,300万円",35,,,,20403
4961,有限会社谷口板金工業所　本社,たにぐちばんきんこうぎょうしょ,取引可,073-0021,北海道,滝川市本町2丁目3番5号,TSビル1階,0125-23-3725,,,,メール請求書,,,,,,,,https://buriki.biz/metal/company/,,"2,300万円",35,,,,10015
4962,株式会社八代,やしろ,取引可,001-0034,北海道,札幌市北区北34条西7丁目1-17,HYビル2階,011-756-8040,011-756-3215,846m@yashiro-c.co.jp,請求書は2営業日の午前中まで,メール請求書,846keiri1@yashiro-c.co.jp,,,,,,,http://www.yashiro-c.co.jp/company2.html,鋼構造物・鉄筋工事,"2,000万円",,,八代工業株式会社,,10016
4963,ForceLinkNext株式会社,ふぉーすりんくねくすと,取引可,003-0021,北海道,札幌市白石区栄通20丁目12-20,おおたビル2F 203号,011-376-5714,,,,,,,,,,,,https://forcelinknext.jp/,,,,,,ForceLinkNext合同会社から株式会社に変更,10017
4964,有限会社ヤマキ末広庵,やまきすえひろあん,取引可,064-0926,北海道,札幌市中央区南26条西9丁目2-22,,011-561-6677,011-512-1209,,,,,,,,,,,,その他,,,,,,10018
4966,株式会社大月鉄工　江別工場,おおつきてっこう,取引可,067-0051,北海道,江別市工栄町21-23,,011-378-6361,011-378-6372,,,,,,,,,,,http://www.ootuki-tekkou.co.jp/,鋼構造物・鉄筋工事,"1,000万円",12,,,,10021
4967,有限会社貝田工務店,かいだこうむてん,取引可,001-0030,北海道,札幌市北区北30条西3丁目3-7,MIKUNI BLD,011-776-7551,011-776-7556,,,,,,,,,,,,,300万円,,,,,10022
4968,株式会社福波,ふくなみ,取引可,390-0221,長野県,松本市里山辺912-36,,090-7184-5476,,,,,,,,,,,,,その他,,,,,,10023
4969,フジメンテナンス株式会社,ふじめんてなんす,取引可,053-0003,北海道,苫小牧市入船町2丁目9番12号,Fuji B.L.D 2F,0144-82-7441,0144-82-7443,,,,,,,,,,,https://fujimaint.co.jp/,,300万円,,,,,10024
4970,北海道豊富高等学校,ほっかいどうとよとみこうとうがっこう,取引可,098-4100,北海道,天塩郡豊富町字上サロベツ475番地,,0162-82-1709,0162-82-1194,,,,,,,,,,,http://www.toyotomi.hokkaido-c.ed.jp/,その他,,,,,,10025
4971,太平電業株式会社　砂川事業所,たいへいでんぎょう,取引可,073-0144,北海道,砂川市西5条南21丁目1-35,,0125-52-2644,0125-52-2644,,,,,,,,,,,https://www.taihei-dengyo.co.jp/,,40億80万円,1548,,,,10026
4972,株式会社北海道デジタル,ほっかいどうでじたる,取引可,003-0869,北海道,札幌市白石区川下2550-10,,011-807-4168,011-807-4169,,,,,,,,,,,http://h-digital.jp/,電気・通信工事,"1,000万円",,,,,10027
4973,株式会社スカイネット,すかいねっと,取引可,240-0002,神奈川県,横浜市保土ケ谷区宮田町1-3-3,キャピタル天王町701,045-442-4225,045-442-4226,,,,,,,,,,,https://www.skynet-recruit.com/,電気・通信工事,,,,,,10029
4974,有限会社エヌ・システムス,えぬしすてむす,取引可,004-0871,北海道,札幌市清田区平岡1条2丁目3-15,,011-826-5447,011-826-5448,nsystems@iaa.itkeeper.ne.jp,,,,,,,,,,https://nsystem-s.com/,,500万円,,北海道,,,10030
4975,北海道コンクリート工業株式会社,ほっかいどうこんくりーとこうぎょう,取引可,060-0002,北海道,札幌市中央区北2条西2丁目40,札幌2・2ビル,011-241-1901,011-221-7314,,,,rui.kawakami@hcic.co.jp,,,,,,,https://www.hcic.co.jp/,,"2億2,275万円",101,,,,10031
4976,株式会社野口電設,のぐちでんせつ,取引可,004-0031,北海道,札幌市厚別区上野幌1条1丁目9-8,,011-839-1030,,,,,,,,,,,,,電気・通信工事,,,,,,10032
4977,三共舗道株式会社　滝川営業所,さんきょうほどう,取引可,073-0171,北海道,砂川市空知太西1条2丁目12,,0125-53-3009,0125-53-3009,,,,,,,,,,,http://www.sankyohodo.co.jp/,,1億円,,,中山組グループ,,10033
4978,住友林業ホームエンジニアリング株式会社　札幌事業所,すみともりんぎょうほーむえんじにありんぐ,取引可,063-0804,北海道,札幌市西区二十四軒4条2丁目1-29,,011-803-5777,011-803-5778,,,,,,,,,,,https://www.sumirin-he.co.jp/,,"7,500万円",1044,,住友林業株式会社 100%出資,,10034
4979,株式会社ヴォークス,ヴぉーくす,取引可,060-0004,北海道,札幌市中央区北4条西6丁目3-4,タイムズステーション札幌駅前1階,011-215-4705,011-215-4706,,,,,,,,,,,https://voqus.co.jp/,,"1,000万円",101,,,,10035
4980,丸建基礎工事株式会社,まるけんきそこうじ,取引可,061-1111,北海道,北広島市輪厚681-15,,011-887-9638,011-887-9639,,,,,,,,,,,https://maruken-kiso.co.jp/,,"5,000万円",20,,丸紅グループ、丸紅建材リース株式会社,,10036
4981,株式会社渡辺塗料商会,わたなべとりょうしょうかい,取引可,004-0821,北海道,札幌市清田区清田1条3丁目7-55,,011-887-8094,011-887-8094,,,,,,,,,,,,,"1,000万円",10,,,2023/5/15住所の変更,10037
4982,名鉄観光サービス株式会社　銀座支店,めいてつかんこうさーびす,取引可,104-0061,東京都,中央区銀座7-8-2,銀座御幸ビル　7階,03-6629-9864,03-6629-9867,,,,,,,,,,,https://www.mwt.co.jp,その他,1億円,,,,,10038
4983,三共塗装株式会社,さんきょうとそう,取引可,065-0018,北海道,札幌市東区北18条東19丁目2-25,,011-782-6601,011-782-6605,,,,,,,,,,,https://sankyou-tosou.co.jp/,,"2,000万円",14,,,,10039
4984,平晋建設株式会社,へいしんけんせつ,取引可,963-0101,福島県,郡山市安積町日出山字大洲河原142,,024-944-2266,024-942-5690,,,,,,,,,,,http://www.heisin.com/,,"2,000万円",44,,,NTT東日本や東北電力 JR関連の民間工事の設計・施工,10041
4985,株式会社ニヘイ　本社,にへい,取引可,063-0051,北海道,札幌市西区宮の沢1条1丁目1番30号,宮の沢ターミナルビル2階,011-668-1280,011-669-5310,,,メール請求書,HAYASHI_hitomi@nihei.sfc.co.jp; YAMAMOTO_izumi@nihei.sfc.co.jp,,,,,,,https://www.nihei.co.jp/,,"3,000万円",85,,,工事部　TEL 011-668-1284、FAX 011-669-5313,10042
4986,株式会社エコ環境設備,えこかんきょうせつび,取引可,959-2426,新潟県,新発田市向中条2825番地,,0254-20-8881,0254-20-8882,ekokankyou@leaf.ocn.ne.jp,,,,,,,,,,https://ekokankyousetubi.apage.jp/,電気・通信工事,,,,,,10043
4987,媚山鉄工株式会社,こびやまてっこう,取引可,078-8253,北海道,旭川市東旭川北3条6-5-10,,0166-36-1037,0166-36-1058,,,,,,,,,,,https://kobiyama.co.jp/,鋼構造物・鉄筋工事,"1,000万円",47,北海道および一部関東地区,,取引先：大成建設株式会社札幌支店、岩田地崎建設株式会社,10045
4988,株式会社セイテック,せいてっく,取引可,050-0061,北海道,室蘭市八丁平4丁目45-14,,0143-84-1822,0143-84-1823,,,,,,,,,,,https://www.kensetumap.com/company/52023/profile.php,電気・通信工事,500万円,,,,,10046
4989,エクシオインフラ株式会社　北海道支店,えくしおいんふら,取引可,062-0931,北海道,札幌市豊平区平岸1条3-2-33,エクシオナトラエビル4F,011-598-6721,011-598-6731,,,,,,,,,,,http://www.e-infra.co.jp/office.html,電気・通信工事,"9,500万円",280,,,,10047
4990,北海道三祐株式会社,ほっかいどうさんゆう,取引可,002-0856,北海道,札幌市北区屯田6条8丁目9番地12,,011-773-5121,011-773-5128,,,,,,,,,,,http://www.dosanyu.co.jp/,,"3,000万円",60,,,大手ゼネコンとの取引多数　https://www.dosanyu.co.jp/about/,10048
4991,株式会社バーテックス,ばーてっくす,取引可,003-0852,北海道,札幌市白石区川北2条1丁目1-18,,011-374-4626,011-374-4627,,,,,,,,,,,,,300万円,,,,,10049
4992,株式会社三啓,さんけい,取引可,003-0838,北海道,札幌市白石区北郷8条4丁目5-8,,011-874-1808,,,,,,,,,,,,,,"2,000万円",,,,,10050
4993,旭イノベックス株式会社　建築鉄構事業部　石狩工場,あさひいのべっくす,取引可,061-3244,北海道,石狩市新港南1丁目28-14,,0133-64-2227,0133-64-0934,,,,,,,,,,,https://www.asahi-inovex.co.jp/,鋼構造物・鉄筋工事,1億円,240,,,,10051
4994,ウィズグリーン株式会社,うぃずぐりーん,取引可,005-0861,北海道,札幌市南区真駒内608番5,,011-211-5745,011-211-5746,,,,,,,,,,,https://www.withgreen.net/index.html,,"1,000万円",,,,,10052
4995,有限会社菅原鋼建,すがわらこうけん,取引可,007-0843,北海道,札幌市東区北43条東8丁目4-13,,011-741-0564,011-742-0188,,,,,,,,,,,,,300万円,,,,,10053
4996,トラスト輸送株式会社,とらすとゆそう,取引可,061-1273,北海道,北広島市大曲柏葉5丁目17-12,,090-8909-5356,,,,,,,,,,,,,,,120,,,,10055
4997,有限会社我妻,わがつま,取引可,080-0838,北海道,帯広市大空町2丁目4番地9,,0155-47-7437,0155-47-7437,,,,,,,,,,,,その他,,,,,,10058
4998,水芭蕉小樽本店（有限会社清野クラフト）,みずばしょうおたるほんてん,取引可,047-0027,北海道,小樽市堺町2-15,,0134-24-5241,0134-24-5241,,,,,,,,,,,https://www.hokkaido-kaban.jp/,その他,"1,000万円",39,,,,10059
4999,有限会社大地リース,だいちりーす,取引可,007-0880,北海道,札幌市東区丘珠町499番地43,,011-784-9464,011-784-9484,,,,,,,,,,,https://www.daithi-lease.com/,,"2,000万円",40,,,,10060
5000,札幌制御システム株式会社,さっぽろせいぎょしすてむ,取引可,002-8081,北海道,札幌市北区百合が原7丁目1番20号,,011-775-2188,011-775-2166,,,,,,,,,,,http://www.sapporo-seigyo.co.jp/,電気・通信工事,"3,000万円",,,,,10061
5001,ハセガワ工業株式会社,はせがわこうぎょう,取引可,003-0836,北海道,札幌市白石区北郷6条4丁目7番3号,,011-871-0003,011-871-0027,,,,,,,,,,,https://hasegawakogyo.co.jp/publics/index/3/,,"4,000万円",,,,,10062
5002,株式会社グリーントピア,ぐりーんとぴあ,取引可,061-1276,北海道,北広島市大曲緑ヶ丘3丁目6-9,,011-370-7311,011-370-7312,,,,,,,,,,,,,"1,000万円",,,,,10063
5003,株式会社郷葉,きょうよう,取引可,003-0838,北海道,札幌市白石区北郷8条10丁目2番22号,,011-876-8996,011-872-5257,,,メール請求書,furuyashiki@kyoyo.net,,,,,,,http://www.kyoyo.net/,鋼構造物・鉄筋工事,"5,600万円",,,,,10064
5004,株式会社サッポロフェンス,さっぽろふぇんす,取引可,004-0859,北海道,札幌市清田区清田356番406,,011-881-8112,011-881-8159,info@sapporo-fence.co.jp,,メール請求書,saito@sapporo-fence.co.jp,,,,,,,http://www.sapporo-fence.co.jp/,,"1,000万円",13,,,,10065
5005,寛屋外装,ひろやがいそう,取引可,003-0026,北海道,札幌市白石区本通10丁目南5-24,,011-863-8008,011-863-8008,,,,,,,,,,,,その他,,,,,,10066
5006,フツタ設備技研株式会社,ふつたせつびぎけん,取引可,041-0833,北海道,函館市陣川町80番地39,,0138-55-5695,0138-55-6088,,,,,,,,,,,,管工事（空調設備、給排水設備等）,"1,000万円",,,,,10067
5007,株式会社エル技術コンサルタント,えるぎじゅつこんさるたんと,取引可,060-0005,北海道,札幌市中央区北5条西12丁目2番地,べルックス北5ビルA館6階,011-261-0931,011-261-0940,,,,,,,,,,,http://www.l-tech.co.jp/,,"2,000万円",,,,,10068
